               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.016368,           0.0092424,            0.004961,             0.99942,             0.99939,               0.995,             0.95457,           0.0046398,           0.0020114,           0.0001868,           0.0033215,           0.0033215,            0.070106
                   1,             0.01883,            0.009348,           0.0048756,             0.99659,              0.9985,               0.995,             0.92009,           0.0059939,           0.0023085,          0.00041376,           0.0060559,           0.0060559,            0.039507
                   2,            0.019508,           0.0096536,           0.0050738,             0.99741,             0.99813,             0.99498,             0.92137,           0.0058963,           0.0023278,          0.00056041,           0.0081903,           0.0081903,           0.0083085
                   3,            0.019139,           0.0097995,           0.0054458,             0.99825,             0.99792,             0.99493,             0.89927,           0.0071151,           0.0024634,          0.00049459,              0.0073,              0.0073,              0.0073
                   4,            0.019137,           0.0099809,           0.0056516,             0.99121,             0.99488,             0.99485,             0.93396,           0.0057809,           0.0022889,          0.00065638,              0.0073,              0.0073,              0.0073
                   5,            0.018223,           0.0097701,           0.0054653,             0.99859,             0.99932,               0.995,             0.94052,           0.0058007,           0.0021736,           0.0003762,              0.0064,              0.0064,              0.0064
                   6,             0.01768,           0.0094783,            0.005045,             0.99987,             0.99861,               0.995,             0.94254,           0.0050258,           0.0021988,           0.0003546,              0.0055,              0.0055,              0.0055
                   7,            0.017008,           0.0093928,            0.004895,             0.99948,             0.99884,               0.995,             0.94355,            0.005104,           0.0021706,           0.0002698,              0.0046,              0.0046,              0.0046
                   8,            0.016581,            0.009149,           0.0048119,             0.99939,             0.99821,               0.995,              0.9558,           0.0047119,           0.0020122,          0.00024754,              0.0037,              0.0037,              0.0037
                   9,            0.016474,           0.0092217,           0.0052364,              0.9995,             0.99931,               0.995,             0.96269,           0.0041638,           0.0019684,          0.00018966,              0.0028,              0.0028,              0.0028
